processes,vertices,delta,enable_ios,enable_push_pull_pruning,enable_hybridization,hybridization_tau,enable_load_balancing,elapsed_time
96,131072,25,0,0,1,0.4,0,0.186817
48,8192,25,0,0,1,0.4,0,0.0347719
24,4194304,25,0,0,1,0.4,0,12.1999
24,65536,25,0,0,1,0.4,0,0.127752
24,2048,25,0,0,1,0.4,0,0.0170422
24,32768,25,0,0,1,0.4,0,0.0718296
96,32768,25,0,0,1,0.4,0,0.041759
96,2097152,25,0,0,1,0.4,0,3.5925
72,16384,25,0,0,1,0.4,0,0.0554366
24,4096,15,1,1,1,0.4,0,0.0207605
96,4194304,15,1,1,1,0.4,0,2.45351
24,4194304,15,1,1,1,0.4,0,4.74245
24,65536,15,1,1,1,0.4,0,0.0566103
48,4194304,15,1,1,1,0.4,0,3.1628
24,8192,15,1,1,1,0.4,0,0.0213892
24,2097152,15,1,1,1,0.4,0,2.04535
96,262144,15,1,1,1,0.4,0,0.178696
96,1048576,15,1,1,1,0.4,0,0.415269
24,1024,15,1,1,1,0.4,0,0.0213459
24,4096,15,1,1,1,0.4,0,0.0203238
72,1024,15,1,1,1,0.4,0,0.0319173
72,262144,15,1,1,1,0.4,0,0.1116
48,2048,15,1,1,1,0.4,0,0.0309515
24,1024,15,1,1,1,0.4,0,0.0176702
48,4096,15,1,1,1,0.4,0,0.0346975
72,2048,15,1,1,1,0.4,0,0.0333397
48,131072,15,1,1,1,0.4,0,0.11624
72,4096,15,1,1,1,0.4,0,0.0445805
24,2097152,15,1,1,1,0.4,0,2.22783
24,32768,15,1,1,1,0.4,0,0.042978
24,262144,15,1,1,1,0.4,0,0.252737
96,8192,15,1,1,1,0.4,0,0.0413709
24,16384,15,1,1,1,0.4,0,0.0313327
72,16384,15,1,1,1,0.4,0,0.0534627
96,32768,15,1,1,1,0.4,0,0.0557544
48,2097152,15,1,1,1,0.4,0,1.41392
48,65536,15,1,1,1,0.4,0,0.0533714
48,4096,15,1,1,1,0.4,0,0.0338159
